Client ID,Arrival time,Checkout exit,Exit time,Total time
0,4,4.91651,13.9165,9.91651
1,6,6.58108,18.9165,12.9165
2,9,9.46908,17.4691,8.46908
3,12,16.2394,26.9165,14.9165
4,16,18.1053,20.5425,4.54251
5,18,19.2218,33.9165,15.9165
6,21,22.277,37.9165,16.9165
7,26,26.0297,36.0297,10.0297
8,29,32.7592,38.7592,9.75917
9,33,36.8007,0,3.80071
10,37,40.8652,45.8652,8.86522
11,39,45.266,49.266,10.266
12,43,46.8802,53.8802,10.8802
13,47,47.0854,54.0854,7.08542
14,49,50.6846,51.5174,2.51741
15,52,53.5038,56.5038,4.5038
16,53,53.718,62.5038,9.5038
17,57,57.6343,68.0854,11.0854
18,60,61.6901,69.5038,9.5038
19,62,62.8575,64.4024,2.40236
20,63,66.9178,79.718,16.718
21,63,64.9306,67.718,4.71799
22,66,66.4374,66.5105,0.510469
23,66,67.6269,115.627,49.6269
24,72,73.9531,83.718,11.718
25,75,82.8267,92.718,17.718
26,79,81.9522,88.718,9.71799
27,82,82.1766,89.5038,7.5038
28,85,86.012,95.5038,10.5038
29,87,87.0737,87.8891,0.889078
30,91,94.1662,100.504,9.5038
31,95,97.7483,104.748,9.74831
32,96,96.7993,128.799,32.7993
33,100,103.184,110.748,10.7483
34,101,104.988,149.988,48.9882
35,104,106.291,124.748,20.7483
36,109,113.646,126.748,17.7483
37,113,114.495,119.495,6.49536
38,117,118.751,0,1.7515
39,123,129.073,136.073,13.0726
40,125,125.273,0,0.273371
41,128,129.947,142.073,14.0726
42,132,133.755,134.952,2.95202
43,133,133.683,144.683,11.6831
44,134,135.931,169.931,35.9309
45,138,143.107,146.092,8.09189
46,140,140.52,153.073,13.0726
47,145,145.479,147.479,2.47864
48,149,154.12,158.12,9.1201
49,155,155.384,166.12,11.1201
50,161,161.365,164.365,3.36485
51,165,165.041,176.041,11.0406
52,169,169.622,178.622,9.62209
53,172,173.962,174.196,2.1955
54,173,176.675,181.675,8.67474
55,174,175.318,178.318,4.31812
56,177,177.611,183.622,6.62209
57,179,179.654,187.622,8.62209
58,186,187.278,199.278,13.2779
59,188,190.946,201.946,13.9461
60,193,202.522,208.673,15.6729
61,198,200.673,235.673,37.6729
62,201,203.61,209.673,8.67291
63,205,206.767,214.673,9.67291
64,209,215.578,218.897,9.8972
65,213,215.054,230.054,17.0537
66,219,220.31,224.31,5.30972
67,222,229.861,261.861,39.8613
68,225,226.463,248.463,23.4631
69,228,229.465,0,1.46491
70,230,230.736,247.861,17.8613
71,231,232.884,234.884,3.88409
72,234,234.634,237.301,3.30088
73,239,239.299,240.301,1.30115
74,240,241.041,249.041,9.04129
75,244,245.472,246.575,2.57498
76,251,251.422,265.422,14.4221
77,251,253.905,260.422,9.4221
78,253,258.848,272.848,19.8475
79,256,257.343,287.343,31.3431
80,259,260.377,279.848,20.8475
81,261,262.511,263.261,2.26111
82,264,265.76,266.22,2.2196
83,266,266.809,268.221,2.22126
84,271,271.863,275.863,4.86273
85,274,276.04,279.04,5.03983
86,274,278.245,290.848,16.8475
87,278,279.494,288.04,10.0398
88,279,280.596,291.04,12.0398
89,280,280.512,287.245,7.24497
90,284,291.999,295.999,11.9988
91,289,289.53,298.53,9.53012
92,293,293.813,300.999,7.99885
93,294,299.167,311.167,17.1668
94,296,301.061,305.167,9.16679
95,300,301.96,310.167,10.1668
96,304,305.819,313.999,9.99885
97,308,308.021,319.167,11.1668
98,310,311.108,329.167,19.1668
99,311,315.473,334.167,23.1668
100,314,314.963,329.999,15.9988
101,318,323.15,333.15,15.1498
102,323,323.249,325.475,2.47506
103,327,327.44,354.44,27.4404
104,329,329.798,355.798,26.7977
105,331,333.809,334.604,3.6043
106,332,333.794,334.116,2.11566
107,336,341.812,352.812,16.8122
108,339,339.58,343.58,4.57971
109,344,344.104,348.104,4.1038
110,346,351.927,359.927,13.927
111,347,347.096,352.104,5.1038
112,354,355.227,362.104,8.1038
113,360,360.861,361.291,1.29053
114,364,365.831,366.249,2.24921
115,366,374.48,382.123,16.1227
116,369,369.758,372.758,3.75841
117,371,372.024,380.024,9.02374
118,373,378.019,386.024,13.0237
119,379,379.34,386.019,7.01937
120,382,386.174,386.604,4.60378
121,384,387.659,391.659,7.65877
122,387,391.231,400.659,13.6588
123,392,392.998,397.49,5.48964
124,395,395.173,396.395,1.39469
125,395,396.61,418.61,23.6104
126,398,407.234,415.566,17.5656
127,401,404.953,405.583,4.58289
128,402,403.795,425.795,23.7951
129,403,405.566,411.566,8.56557
130,406,415.337,431.566,25.5656
131,409,411.628,424.566,15.5656
132,414,415.072,427.566,13.5656
133,418,419.445,434.566,16.5656
134,419,420.592,0,1.59179
135,421,422.33,437.566,16.5656
136,427,427.36,432.36,5.36018
137,430,430.29,440.566,10.5656
138,434,436.189,446.566,12.5656
139,437,437.357,452.566,15.5656
140,437,442.194,457.566,20.5656
141,440,440.078,456.566,16.5656
142,444,446.845,464.566,20.5656
143,448,449.55,453.55,5.55009
144,456,458.281,467.566,11.5656
145,458,462.562,481.281,23.2808
146,460,461.513,472.281,12.2808
147,461,461.817,463.324,2.32351
148,466,468.095,488.281,22.2808
149,468,468.568,475.566,7.56557
150,469,469.31,476.568,7.56783
151,477,480.767,526.767,49.7668
152,478,480.045,489.636,11.636
153,478,479.636,483.636,5.63596
